user_id,news_id,rank
U15905,N39765,10
U67590,N38215,1
U67590,N7618,2
U67590,N41220,3
U67590,N4936,4
U67590,N19318,5
U67590,N16844,6
U67590,N14726,7
U67590,N41122,8
U67590,N14523,9
U67590,N39765,10
U8181,N38215,1
U8181,N7618,2
U8181,N41220,3
U8181,N4936,4
U8181,N19318,5
U8181,N16844,6
U8181,N14726,7
U8181,N41122,8
U8181,N14523,9
U8181,N39765,10
U35337,N38215,1
U35337,N7618,2
U35337,N41220,3
U35337,N4936,4
U35337,N19318,5
U35337,N16844,6
U35337,N14726,7
U35337,N41122,8
U35337,N14523,9
U35337,N39765,10
U1987,N38215,1
U1987,N7618,2
U1987,N41220,3
U1987,N4936,4
U1987,N19318,5
U1987,N16844,6
U1987,N14726,7
U1987,N41122,8
U1987,N14523,9
U1987,N39765,10
U36076,N38215,1
U36076,N7618,2
U36076,N41220,3
U36076,N4936,4
U36076,N19318,5
U36076,N16844,6
U36076,N14726,7
U36076,N41122,8
U36076,N14523,9
U36076,N39765,10
U39839,N38215,1
U39839,N7618,2
U39839,N41220,3
U39839,N4936,4
U39839,N19318,5
U39839,N16844,6
U39839,N14726,7
U39839,N41122,8
U39839,N14523,9
U39839,N39765,10
U44035,N21583,1
U44035,N31556,2
U44035,N40407,3
U44035,N42247,4
U44035,N32869,5
U44035,N42977,6
U44035,N32412,7
U44035,N15879,8
U44035,N23294,9
U44035,N34811,10
U48086,N38215,1
U48086,N7618,2
U48086,N41220,3
U48086,N4936,4
U48086,N19318,5
U48086,N16844,6
U48086,N14726,7
U48086,N41122,8
U48086,N14523,9
U48086,N39765,10
U44340,N38215,1
U44340,N7618,2
U44340,N41220,3
U44340,N4936,4
U44340,N19318,5
U44340,N16844,6
U44340,N14726,7
U44340,N41122,8
U44340,N14523,9
U44340,N39765,10
U18041,N38215,1
U18041,N7618,2
U18041,N41220,3
U18041,N4936,4
U18041,N19318,5
U18041,N16844,6
U18041,N14726,7
U18041,N41122,8
U18041,N14523,9
U18041,N39765,10
U12288,N38215,1
U12288,N7618,2
U12288,N41220,3
U12288,N4936,4
U12288,N19318,5
U12288,N16844,6
U12288,N14726,7
U12288,N41122,8
U12288,N14523,9
U12288,N39765,10
U83282,N38215,1
U83282,N7618,2
U83282,N41220,3
U83282,N4936,4
U83282,N19318,5
U83282,N16844,6
U83282,N14726,7
U83282,N41122,8
U83282,N14523,9
U83282,N39765,10
U23227,N38215,1
U23227,N7618,2
U23227,N41220,3
U23227,N4936,4
U23227,N19318,5
U23227,N16844,6
U23227,N14726,7
U23227,N41122,8
U23227,N14523,9
U23227,N39765,10
U23619,N38215,1
U23619,N7618,2
U23619,N41220,3
U23619,N4936,4
U23619,N19318,5
U23619,N16844,6
U23619,N14726,7
U23619,N41122,8
U23619,N14523,9
U23619,N39765,10
U2215,N38215,1
U2215,N7618,2
U2215,N41220,3
U2215,N4936,4
U2215,N19318,5
U2215,N16844,6
U2215,N14726,7
U2215,N41122,8
U2215,N14523,9
U2215,N39765,10
U9906,N38215,1
U9906,N7618,2
U9906,N41220,3
U9906,N4936,4
U9906,N19318,5
U9906,N16844,6
U9906,N14726,7
U9906,N41122,8
U9906,N14523,9
U9906,N39765,10
U40099,N38215,1
U40099,N7618,2
U40099,N41220,3
U40099,N4936,4
U40099,N19318,5
U40099,N16844,6
U40099,N14726,7
U40099,N41122,8
U40099,N14523,9
U40099,N39765,10
U32477,N38215,1
U32477,N7618,2
U32477,N41220,3
U32477,N4936,4
U32477,N19318,5
U32477,N16844,6
U32477,N14726,7
U32477,N41122,8
U32477,N14523,9
U32477,N39765,10
U20074,N38215,1
U20074,N7618,2
U20074,N41220,3
U20074,N4936,4
U20074,N19318,5
U20074,N16844,6
U20074,N14726,7
U20074,N41122,8
U20074,N14523,9
U20074,N39765,10
U64980,N38215,1
U64980,N7618,2
U64980,N41220,3
U64980,N4936,4
U64980,N19318,5
U64980,N16844,6
U64980,N14726,7
U64980,N41122,8
U64980,N14523,9
U64980,N39765,10
U78728,N38215,1
U78728,N7618,2
U78728,N41220,3
U78728,N4936,4
U78728,N19318,5
U78728,N16844,6
U78728,N14726,7
U78728,N41122,8
U78728,N14523,9
U78728,N39765,10
U70080,N38215,1
U70080,N7618,2
U70080,N41220,3
U70080,N4936,4
U70080,N19318,5
U70080,N16844,6
U70080,N14726,7
U70080,N41122,8
U70080,N14523,9
U70080,N39765,10
U24766,N38215,1
U24766,N7618,2
U24766,N41220,3
U24766,N4936,4
U24766,N19318,5
U24766,N16844,6
U24766,N14726,7
U24766,N41122,8
U24766,N14523,9
U24766,N39765,10
U38395,N38215,1
U38395,N7618,2
U38395,N41220,3
U38395,N4936,4
U38395,N19318,5
U38395,N16844,6
U38395,N14726,7
U38395,N41122,8
U38395,N14523,9
U38395,N39765,10
U65292,N38215,1
U65292,N7618,2
U65292,N41220,3
U65292,N4936,4
U65292,N19318,5
U65292,N16844,6
U65292,N14726,7
U65292,N41122,8
U65292,N14523,9
U65292,N39765,10
U65211,N38215,1
U65211,N7618,2
U65211,N41220,3
U65211,N4936,4
U65211,N19318,5
U65211,N16844,6
U65211,N14726,7
U65211,N41122,8
U65211,N14523,9
U65211,N39765,10
U87244,N38215,1
U87244,N7618,2
U87244,N41220,3
U87244,N4936,4
U87244,N19318,5
U87244,N16844,6
U87244,N14726,7
U87244,N41122,8
U87244,N14523,9
U87244,N39765,10
U48561,N38215,1
U48561,N7618,2
U48561,N41220,3
U48561,N4936,4
U48561,N19318,5
U48561,N16844,6
U48561,N14726,7
U48561,N41122,8
U48561,N14523,9
U48561,N39765,10
U44998,N38215,1
U44998,N7618,2
U44998,N41220,3
U44998,N4936,4
U44998,N19318,5
U44998,N16844,6
U44998,N14726,7
U44998,N41122,8
U44998,N14523,9
U44998,N39765,10
U47562,N38215,1
U47562,N7618,2
U47562,N41220,3
U47562,N4936,4
U47562,N19318,5
U47562,N16844,6
U47562,N14726,7
U47562,N41122,8
U47562,N14523,9
U47562,N39765,10
U63786,N38215,1
U63786,N7618,2
U63786,N41220,3
U63786,N4936,4
U63786,N19318,5
U63786,N16844,6
U63786,N14726,7
U63786,N41122,8
U63786,N14523,9
U63786,N39765,10
U37726,N38215,1
U37726,N7618,2
U37726,N41220,3
U37726,N4936,4
U37726,N19318,5
U37726,N16844,6
U37726,N14726,7
U37726,N41122,8
U37726,N14523,9
U37726,N39765,10
U90837,N38215,1
U90837,N7618,2
U90837,N41220,3
U90837,N4936,4
U90837,N19318,5
U90837,N16844,6
U90837,N14726,7
U90837,N41122,8
U90837,N14523,9
U90837,N39765,10
U91644,N38215,1
U91644,N7618,2
U91644,N41220,3
U91644,N4936,4
U91644,N19318,5
U91644,N16844,6
U91644,N14726,7
U91644,N41122,8
U91644,N14523,9
U91644,N39765,10
U90247,N38215,1
U90247,N7618,2
U90247,N41220,3
U90247,N4936,4
U90247,N19318,5
U90247,N16844,6
U90247,N14726,7
U90247,N41122,8
U90247,N14523,9
U90247,N39765,10
U66717,N38215,1
U66717,N7618,2
U66717,N41220,3
U66717,N4936,4
U66717,N19318,5
U66717,N16844,6
U66717,N14726,7
U66717,N41122,8
U66717,N14523,9
U66717,N39765,10
U10606,N38215,1
U10606,N7618,2
U10606,N41220,3
U10606,N4936,4
U10606,N19318,5
U10606,N16844,6
U10606,N14726,7
U10606,N41122,8
U10606,N14523,9
U10606,N39765,10
U52467,N38215,1
U52467,N7618,2
U52467,N41220,3
U52467,N4936,4
U52467,N19318,5
U52467,N16844,6
U52467,N14726,7
U52467,N41122,8
U52467,N14523,9
U52467,N39765,10
U48429,N38215,1
U48429,N7618,2
U48429,N41220,3
U48429,N4936,4
U48429,N19318,5
U48429,N16844,6
U48429,N14726,7
U48429,N41122,8
U48429,N14523,9
U48429,N39765,10
U63542,N38215,1
U63542,N7618,2
U63542,N41220,3
U63542,N4936,4
U63542,N19318,5
U63542,N16844,6
U63542,N14726,7
U63542,N41122,8
U63542,N14523,9
U63542,N39765,10
U64634,N38215,1
U64634,N7618,2
U64634,N41220,3
U64634,N4936,4
U64634,N19318,5
U64634,N16844,6
U64634,N14726,7
U64634,N41122,8
U64634,N14523,9
U64634,N39765,10
U40634,N38215,1
U40634,N7618,2
U40634,N41220,3
U40634,N4936,4
U40634,N19318,5
U40634,N16844,6
U40634,N14726,7
U40634,N41122,8
U40634,N14523,9
U40634,N39765,10
U18498,N38215,1
U18498,N7618,2
U18498,N41220,3
U18498,N4936,4
U18498,N19318,5
U18498,N16844,6
U18498,N14726,7
U18498,N41122,8
U18498,N14523,9
U18498,N39765,10
U27680,N38215,1
U27680,N7618,2
U27680,N41220,3
U27680,N4936,4
U27680,N19318,5
U27680,N16844,6
U27680,N14726,7
U27680,N41122,8
U27680,N14523,9
U27680,N39765,10
U63146,N38215,1
U63146,N7618,2
U63146,N41220,3
U63146,N4936,4
U63146,N19318,5
U63146,N16844,6
U63146,N14726,7
U63146,N41122,8
U63146,N14523,9
U63146,N39765,10
U55173,N38215,1
U55173,N7618,2
U55173,N41220,3
U55173,N4936,4
U55173,N19318,5
U55173,N16844,6
U55173,N14726,7
U55173,N41122,8
U55173,N14523,9
U55173,N39765,10
U80651,N38215,1
U80651,N7618,2
U80651,N41220,3
U80651,N4936,4
U80651,N19318,5
U80651,N16844,6
U80651,N14726,7
U80651,N41122,8
U80651,N14523,9
U80651,N39765,10
U71765,N38215,1
U71765,N7618,2
U71765,N41220,3
U71765,N4936,4
U71765,N19318,5
U71765,N16844,6
U71765,N14726,7
U71765,N41122,8
U71765,N14523,9
U71765,N39765,10
U88867,N38215,1
U88867,N7618,2
U88867,N41220,3
U88867,N4936,4
U88867,N19318,5
U88867,N16844,6
U88867,N14726,7
U88867,N41122,8
U88867,N14523,9
U88867,N39765,10
U14257,N38215,1
U14257,N7618,2
U14257,N41220,3
U14257,N4936,4
U14257,N19318,5
U14257,N16844,6
U14257,N14726,7
U14257,N41122,8
U14257,N14523,9
U14257,N39765,10
U91361,N38215,1
U91361,N7618,2
U91361,N41220,3
U91361,N4936,4
U91361,N19318,5
U91361,N16844,6
U91361,N14726,7
U91361,N41122,8
U91361,N14523,9
U91361,N39765,10
U80349,N51905,1
U80349,N18766,2
U80349,N1653,3
U80349,N2267,4
U80349,N5303,5
U80349,N35593,6
U80349,N19865,7
U80349,N64405,8
U80349,N32845,9
U80349,N56436,10
U61801,N38215,1
U61801,N7618,2
U61801,N41220,3
U61801,N4936,4
U61801,N19318,5
U61801,N16844,6
U61801,N14726,7
U61801,N41122,8
U61801,N14523,9
U61801,N39765,10
U73200,N38215,1
U73200,N7618,2
U73200,N41220,3
U73200,N4936,4
U73200,N19318,5
U73200,N16844,6
U73200,N14726,7
U73200,N41122,8
U73200,N14523,9
U73200,N39765,10
U47747,N38215,1
U47747,N7618,2
U47747,N41220,3
U47747,N4936,4
U47747,N19318,5
U47747,N16844,6
U47747,N14726,7
U47747,N41122,8
U47747,N14523,9
U47747,N39765,10
U13878,N38215,1
U13878,N7618,2
U13878,N41220,3
U13878,N4936,4
U13878,N19318,5
U13878,N16844,6
U13878,N14726,7
U13878,N41122,8
U13878,N14523,9
U13878,N39765,10
U15270,N38215,1
U15270,N7618,2
U15270,N41220,3
U15270,N4936,4
U15270,N19318,5
U15270,N16844,6
U15270,N14726,7
U15270,N41122,8
U15270,N14523,9
U15270,N39765,10
U47922,N38215,1
U47922,N7618,2
U47922,N41220,3
U47922,N4936,4
U47922,N19318,5
U47922,N16844,6
U47922,N14726,7
U47922,N41122,8
U47922,N14523,9
U47922,N39765,10
U12784,N38215,1
U12784,N7618,2
U12784,N41220,3
U12784,N4936,4
U12784,N19318,5
U12784,N16844,6
U12784,N14726,7
U12784,N41122,8
U12784,N14523,9
U12784,N39765,10
U69336,N38215,1
U69336,N7618,2
U69336,N41220,3
U69336,N4936,4
U69336,N19318,5
U69336,N16844,6
U69336,N14726,7
U69336,N41122,8
U69336,N14523,9
U69336,N39765,10
U40781,N38215,1
U40781,N7618,2
U40781,N41220,3
U40781,N4936,4
U40781,N19318,5
U40781,N16844,6
U40781,N14726,7
U40781,N41122,8
U40781,N14523,9
U40781,N39765,10
U45496,N38215,1
U45496,N7618,2
U45496,N41220,3
U45496,N4936,4
U45496,N19318,5
U45496,N16844,6
U45496,N14726,7
U45496,N41122,8
U45496,N14523,9
U45496,N39765,10
U55787,N38215,1
U55787,N7618,2
U55787,N41220,3
U55787,N4936,4
U55787,N19318,5
U55787,N16844,6
U55787,N14726,7
U55787,N41122,8
U55787,N14523,9
U55787,N39765,10
U65757,N38215,1
U65757,N7618,2
U65757,N41220,3
U65757,N4936,4
U65757,N19318,5
U65757,N16844,6
U65757,N14726,7
U65757,N41122,8
U65757,N14523,9
U65757,N39765,10
U54826,N7316,1
U54826,N20750,2
U54826,N40865,3
U54826,N63776,4
U54826,N59138,5
U54826,N51907,6
U54826,N53960,7
U54826,N13364,8
U54826,N27863,9
U54826,N39796,10
U13088,N34396,1
U13088,N50278,2
U13088,N13579,3
U13088,N11407,4
U13088,N33436,5
U13088,N35470,6
U13088,N8051,7
U13088,N25027,8
U13088,N8707,9
U13088,N9552,10
U21903,N38215,1
U21903,N7618,2
U21903,N41220,3
U21903,N4936,4
U21903,N19318,5
U21903,N16844,6
U21903,N14726,7
U21903,N41122,8
U21903,N14523,9
U21903,N39765,10
U50612,N38215,1
U50612,N7618,2
U50612,N41220,3
U50612,N4936,4
U50612,N19318,5
U50612,N16844,6
U50612,N14726,7
U50612,N41122,8
U50612,N14523,9
U50612,N39765,10
U64841,N38215,1
U64841,N7618,2
U64841,N41220,3
U64841,N4936,4
U64841,N19318,5
U64841,N16844,6
U64841,N14726,7
U64841,N41122,8
U64841,N14523,9
U64841,N39765,10
U72845,N38215,1
U72845,N7618,2
U72845,N41220,3
U72845,N4936,4
U72845,N19318,5
U72845,N16844,6
U72845,N14726,7
U72845,N41122,8
U72845,N14523,9
U72845,N39765,10
U82179,N38215,1
U82179,N7618,2
U82179,N41220,3
U82179,N4936,4
U82179,N19318,5
U82179,N16844,6
U82179,N14726,7
U82179,N41122,8
U82179,N14523,9
U82179,N39765,10
U68460,N16148,1
U68460,N38311,2
U68460,N54966,3
U68460,N63210,4
U68460,N65136,5
U68460,N33619,6
U68460,N14780,7
U68460,N43519,8
U68460,N496,9
U68460,N18708,10
U64667,N38215,1
U64667,N7618,2
U64667,N41220,3
U64667,N4936,4
U64667,N19318,5
U64667,N16844,6
U64667,N14726,7
U64667,N41122,8
U64667,N14523,9
U64667,N39765,10
U71008,N38215,1
U71008,N7618,2
U71008,N41220,3
U71008,N4936,4
U71008,N19318,5
U71008,N16844,6
U71008,N14726,7
U71008,N41122,8
U71008,N14523,9
U71008,N39765,10
U85068,N38215,1
U85068,N7618,2
U85068,N41220,3
U85068,N4936,4
U85068,N19318,5
U85068,N16844,6
U85068,N14726,7
U85068,N41122,8
U85068,N14523,9
U85068,N39765,10
U75160,N38215,1
U75160,N7618,2
U75160,N41220,3
U75160,N4936,4
U75160,N19318,5
U75160,N16844,6
U75160,N14726,7
U75160,N41122,8
U75160,N14523,9
U75160,N39765,10
U5891,N38215,1
U5891,N7618,2
U5891,N41220,3
U5891,N4936,4
U5891,N19318,5
U5891,N16844,6
U5891,N14726,7
U5891,N41122,8
U5891,N14523,9
U5891,N39765,10
U23420,N38215,1
U23420,N7618,2
U23420,N41220,3
U23420,N4936,4
U23420,N19318,5
U23420,N16844,6
U23420,N14726,7
U23420,N41122,8
U23420,N14523,9
U23420,N39765,10
U14796,N38215,1
U14796,N7618,2
U14796,N41220,3
U14796,N4936,4
U14796,N19318,5
U14796,N16844,6
U14796,N14726,7
U14796,N41122,8
U14796,N14523,9
U14796,N39765,10
U41656,N38215,1
U41656,N7618,2
U41656,N41220,3
U41656,N4936,4
U41656,N19318,5
U41656,N16844,6
U41656,N14726,7
U41656,N41122,8
U41656,N14523,9
U41656,N39765,10
U63911,N38215,1
U63911,N7618,2
U63911,N41220,3
U63911,N4936,4
U63911,N19318,5
U63911,N16844,6
U63911,N14726,7
U63911,N41122,8
U63911,N14523,9
U63911,N39765,10
U24729,N38215,1
U24729,N7618,2
U24729,N41220,3
U24729,N4936,4
U24729,N19318,5
U24729,N16844,6
U24729,N14726,7
U24729,N41122,8
U24729,N14523,9
U24729,N39765,10
U70785,N38215,1
U70785,N7618,2
U70785,N41220,3
U70785,N4936,4
U70785,N19318,5
U70785,N16844,6
U70785,N14726,7
U70785,N41122,8
U70785,N14523,9
U70785,N39765,10
U43682,N38215,1
U43682,N7618,2
U43682,N41220,3
U43682,N4936,4
U43682,N19318,5
U43682,N16844,6
U43682,N14726,7
U43682,N41122,8
U43682,N14523,9
U43682,N39765,10
U10485,N38215,1
U10485,N7618,2
U10485,N41220,3
U10485,N4936,4
U10485,N19318,5
U10485,N16844,6
U10485,N14726,7
U10485,N41122,8
U10485,N14523,9
U10485,N39765,10
U88324,N38215,1
U88324,N7618,2
U88324,N41220,3
U88324,N4936,4
U88324,N19318,5
U88324,N16844,6
U88324,N14726,7
U88324,N41122,8
U88324,N14523,9
U88324,N39765,10
U74467,N38215,1
U74467,N7618,2
U74467,N41220,3
U74467,N4936,4
U74467,N19318,5
U74467,N16844,6
U74467,N14726,7
U74467,N41122,8
U74467,N14523,9
U74467,N39765,10
U66234,N38215,1
U66234,N7618,2
U66234,N41220,3
U66234,N4936,4
U66234,N19318,5
U66234,N16844,6
U66234,N14726,7
U66234,N41122,8
U66234,N14523,9
U66234,N39765,10
U81041,N38215,1
U81041,N7618,2
U81041,N41220,3
U81041,N4936,4
U81041,N19318,5
U81041,N16844,6
U81041,N14726,7
U81041,N41122,8
U81041,N14523,9
U81041,N39765,10
U37316,N52742,1
U37316,N32485,2
U37316,N41415,3
U37316,N11289,4
U37316,N11015,5
U37316,N30288,6
U37316,N25019,7
U37316,N9493,8
U37316,N22834,9
U37316,N28571,10
U38978,N35170,1
U38978,N55689,2
U38978,N6502,3
U38978,N43749,4
U38978,N57402,5
U38978,N1539,6
U38978,N59673,7
U38978,N59877,8
U38978,N61378,9
U38978,N3237,10
U79917,N38215,1
U79917,N7618,2
U79917,N41220,3
U79917,N4936,4
U79917,N19318,5
U79917,N16844,6
U79917,N14726,7
U79917,N41122,8
U79917,N14523,9
U79917,N39765,10
U83242,N38215,1
U83242,N7618,2
U83242,N41220,3
U83242,N4936,4
U83242,N19318,5
U83242,N16844,6
U83242,N14726,7
U83242,N41122,8
U83242,N14523,9
U83242,N39765,10
U22589,N38215,1
U22589,N7618,2
U22589,N41220,3
U22589,N4936,4
U22589,N19318,5
U22589,N16844,6
U22589,N14726,7
U22589,N41122,8
U22589,N14523,9
U22589,N39765,10
U55254,N38215,1
U55254,N7618,2
U55254,N41220,3
U55254,N4936,4
U55254,N19318,5
U55254,N16844,6
U55254,N14726,7
U55254,N41122,8
U55254,N14523,9
U55254,N39765,10
U91457,N38215,1
U91457,N7618,2
U91457,N41220,3
U91457,N4936,4
U91457,N19318,5
U91457,N16844,6
U91457,N14726,7
U91457,N41122,8
U91457,N14523,9
U91457,N39765,10
U11123,N38215,1
U11123,N7618,2
U11123,N41220,3
U11123,N4936,4
U11123,N19318,5
U11123,N16844,6
U11123,N14726,7
U11123,N41122,8
U11123,N14523,9
U11123,N39765,10
U45889,N38215,1
U45889,N7618,2
U45889,N41220,3
U45889,N4936,4
U45889,N19318,5
U45889,N16844,6
U45889,N14726,7
U45889,N41122,8
U45889,N14523,9
U45889,N39765,10
U3506,N38215,1
U3506,N7618,2
U3506,N41220,3
U3506,N4936,4
U3506,N19318,5
U3506,N16844,6
U3506,N14726,7
U3506,N41122,8
U3506,N14523,9
U3506,N39765,10
U63924,N19661,1
U63924,N80,2
U63924,N6145,3
U63924,N23681,4
U63924,N47132,5
U63924,N14292,6
U63924,N16496,7
U63924,N60663,8
U63924,N27851,9
U63924,N23416,10
U29075,N38215,1
U29075,N7618,2
U29075,N41220,3
U29075,N4936,4
U29075,N19318,5
U29075,N16844,6
U29075,N14726,7
U29075,N41122,8
U29075,N14523,9
U29075,N39765,10
U53810,N38215,1
U53810,N7618,2
U53810,N41220,3
U53810,N4936,4
U53810,N19318,5
U53810,N16844,6
U53810,N14726,7
U53810,N41122,8
U53810,N14523,9
U53810,N39765,10
U48152,N38215,1
U48152,N7618,2
U48152,N41220,3
U48152,N4936,4
U48152,N19318,5
U48152,N16844,6
U48152,N14726,7
U48152,N41122,8
U48152,N14523,9
U48152,N39765,10
U11982,N38215,1
U11982,N7618,2
U11982,N41220,3
U11982,N4936,4
U11982,N19318,5
U11982,N16844,6
U11982,N14726,7
U11982,N41122,8
U11982,N14523,9
U11982,N39765,10
U79509,N38215,1
U79509,N7618,2
U79509,N41220,3
U79509,N4936,4
U79509,N19318,5
U79509,N16844,6
U79509,N14726,7
U79509,N41122,8
U79509,N14523,9
U79509,N39765,10
U76147,N38215,1
U76147,N7618,2
U76147,N41220,3
U76147,N4936,4
U76147,N19318,5
U76147,N16844,6
U76147,N14726,7
U76147,N41122,8
U76147,N14523,9
U76147,N39765,10
U87753,N38215,1
U87753,N7618,2
U87753,N41220,3
U87753,N4936,4
U87753,N19318,5
U87753,N16844,6
U87753,N14726,7
U87753,N41122,8
U87753,N14523,9
U87753,N39765,10
U63001,N38215,1
U63001,N7618,2
U63001,N41220,3
U63001,N4936,4
U63001,N19318,5
U63001,N16844,6
U63001,N14726,7
U63001,N41122,8
U63001,N14523,9
U63001,N39765,10
U62451,N38215,1
U62451,N7618,2
U62451,N41220,3
U62451,N4936,4
U62451,N19318,5
U62451,N16844,6
U62451,N14726,7
U62451,N41122,8
U62451,N14523,9
U62451,N39765,10
U71874,N38215,1
U71874,N7618,2
U71874,N41220,3
U71874,N4936,4
U71874,N19318,5
U71874,N16844,6
U71874,N14726,7
U71874,N41122,8
U71874,N14523,9
U71874,N39765,10
U78907,N38215,1
U78907,N7618,2
U78907,N41220,3
U78907,N4936,4
U78907,N19318,5
U78907,N16844,6
U78907,N14726,7
U78907,N41122,8
U78907,N14523,9
U78907,N39765,10
U40625,N38215,1
U40625,N7618,2
U40625,N41220,3
U40625,N4936,4
U40625,N19318,5
U40625,N16844,6
U40625,N14726,7
U40625,N41122,8
U40625,N14523,9
U40625,N39765,10
U11400,N38215,1
U11400,N7618,2
U11400,N41220,3
U11400,N4936,4
U11400,N19318,5
U11400,N16844,6
U11400,N14726,7
U11400,N41122,8
U11400,N14523,9
U11400,N39765,10
U43881,N38215,1
U43881,N7618,2
U43881,N41220,3
U43881,N4936,4
U43881,N19318,5
U43881,N16844,6
U43881,N14726,7
U43881,N41122,8
U43881,N14523,9
U43881,N39765,10
U52937,N35729,1
U52937,N43660,2
U52937,N49685,3
U52937,N35195,4
U52937,N31781,5
U52937,N32498,6
U52937,N2569,7
U52937,N50540,8
U52937,N51210,9
U52937,N51061,10
U51387,N3841,1
U51387,N60645,2
U51387,N47900,3
U51387,N23771,4
U51387,N24098,5
U51387,N18158,6
U51387,N33385,7
U51387,N57383,8
U51387,N41432,9
U51387,N45509,10
U12176,N38215,1
U12176,N7618,2
U12176,N41220,3
U12176,N4936,4
U12176,N19318,5
U12176,N16844,6
U12176,N14726,7
U12176,N41122,8
U12176,N14523,9
U12176,N39765,10
U92354,N38215,1
U92354,N7618,2
U92354,N41220,3
U92354,N4936,4
U92354,N19318,5
U92354,N16844,6
U92354,N14726,7
U92354,N41122,8
U92354,N14523,9
U92354,N39765,10
U35863,N38215,1
U35863,N7618,2
U35863,N41220,3
U35863,N4936,4
U35863,N19318,5
U35863,N16844,6
U35863,N14726,7
U35863,N41122,8
U35863,N14523,9
U35863,N39765,10
U405,N38215,1
U405,N7618,2
U405,N41220,3
U405,N4936,4
U405,N19318,5
U405,N16844,6
U405,N14726,7
U405,N41122,8
U405,N14523,9
U405,N39765,10
U86056,N38215,1
U86056,N7618,2
U86056,N41220,3
U86056,N4936,4
U86056,N19318,5
U86056,N16844,6
U86056,N14726,7
U86056,N41122,8
U86056,N14523,9
U86056,N39765,10
U75103,N38215,1
U75103,N7618,2
U75103,N41220,3
U75103,N4936,4
U75103,N19318,5
U75103,N16844,6
U75103,N14726,7
U75103,N41122,8
U75103,N14523,9
U75103,N39765,10
U89129,N38215,1
U89129,N7618,2
U89129,N41220,3
U89129,N4936,4
U89129,N19318,5
U89129,N16844,6
U89129,N14726,7
U89129,N41122,8
U89129,N14523,9
